Tweet,Previsão
Vinicius on Rodrygos instagram   ,Positivo
everyone doubted rodrygo not me thoughvisionary,Positivo
 Real MadridRODRYGO HAS OPENED THE SCORE AND REAL MADRID LEAD ON AGGREGATE  RODRYGO ONCE AGAIN WITH A HUGE MOMENT WHAT A PLAYER   ,Positivo
Rodrygo keeps appearing in his dreams,Positivo
This guy ghosted the entire match but its his image going viral This guys PR is insane wish they could do same for rodrygo cuz hes better,Negativo
Pep to rodrygo next season you know mbappe is coming come to city,Positivo
Drop the iconic Ronaldo x Benz pic with Rodrygo plz  ,Negativo
Better than Rodrygo   ,Positivo
 Andreas Pereira Saka better than Rodrygo Rodrygo From Real Madrid laughs Nah your opinion is different I like Saka I think hes amazing but Rodrygo can play in all positions plays for Real Madrid    ,Positivo
Rodrygo kind of owns City doesnt he,Negativo
Just seen the Rodrygo goal Kyle Walker with a defensive lapse where his pace cant get him out of trouble and he actually has to use positional sense shock horror Then offers minimal positive contributions in possession Trent surpassed him half a decade ago Reece surpassed him in  He should not be starting for England at the Euros,Positivo
man dem were giving me Saka gt Rodrygo shouts yunnofokin ridiculous,Negativo
Pep Guardiola passed by Rodrygo during a postgame interviewRodrygo Look Pep just passed by and gave me a stare  ,Positivo
 Nacho starts for Real Madrid Kroos also in the starting XI Lunin Carvajal Rudiger Nacho Mendy Valverde Kroos Camavinga Rodrygo Vinicius Bellingham  ,Positivo
Gotta be one of the most embarrassing fanbasesClaiming Real Madrid victories as if Rodrygo is gonna come drop off the Champions LeagueMost this fanbase says they wanna be like Madrid but do the complete opposite Ten Hag in when hes failed Wouldve been sacked at Madrid,Positivo
Pep Guardiola apparently passed by Rodrygo amp side eyed him while he was doing a post match interviewRodrygo in the interview Look Guardiola passed by giving me a stare laughs     ,Positivo
We love happy rodrygo   ,Positivo
 Vini Jr to Rodrygo Mr Champions League  ,Positivo
So Haaland could score  goals and not be the best footballer in the world Thats insane Scoring Goals are the most difficult thing to do in football,Positivo
Injuries Akanji  MCI gt Knock   chance of playing  De Bruyne  MCI gt Knock   chance of playing  Haaland  MCI gt Knock   chance of playing  FPL  FPLCommunity  ,Positivo
Watched mins of game during a major meeting Caught rest walking to car listened to AET driving home stopped for beers Watched penalties in the car outside home Now on my couch sipping whats meant to be celebratory beers So proud of my team Love you MCFC  CityTillIDie,Positivo
Exploring the galaxy of pixels one wallpaper at a time  Tags   PioneerPixels   DigitalFrontier  RMAMCI  Treble  Ancelotti  Bellingham  Haaland  Arsenal  Pastor  Guardiola  DSTV  Doku  Real Madrid  Bernardo Silva  Bayern Munich  Kane  Musiala  Mario   ,Positivo
Bernardo Haaland and Walker can fk off to Barcelona or wherever they want They dont do shit anyway here atm,Negativo
wait haaland asked to be subbed out Yh hes exactly what I thought he was,Negativo
Kdb I understand but Haaland,Positivo
haaland going out sad in big games unlike,Negativo
Haaland was more than fine lol,Positivo
Cant believe they were comparing mbappe and Haaland to Messi lmaooooooooo,Negativo
Brahh Haaland and bubblegum are literally gay besties,Negativo
With Haaland out of the picture Messi is the clear favorite,Positivo
We expected him to do everything And again Haaland was nowhere to be seen,Negativo
Bottlers Nothing more nothing less Embarrassing from Haaland and De Bruyne,Negativo
Manchester City fans are all saying they wish to have Bruno Fernandes in their team instead of bernardo silvaI laughed dieTg FA Cup champions league rudiga lunin palmer madrid trey de bruyne haaland saka odegaard celine dion musiala camavinga Guinness world record kepa arteta  ,Negativo
Haaland literally get the fuck out of this first team until you grow a pair of balls I was scared Madrid will sign him up lmao,Negativo
Ronaldo revisionism to compare him to Haaland what the actual hell are we doing here,Positivo
Its not talked about enough how bad Haaland is at heading the ball Even Messi clears him in heading abilityShameful haaland ManCity  MCIRMA  Guardiola,Negativo
KDB and Haaland wanted to be taken out Unless it was something serious its a terrible call by such elite players,Negativo
Haaland What did he actually do on the pitch to get tired,Negativo
 win in  game  European Cup   in Turkish League   Champions  Fenerbahe  PotannKralieleri  YellowLegacy  FenerbahceAlagoz  ,Positivo
Weve done it Medics win the   Cup Final against    with goals coming from Pete Nicholls and Jamie Bedford Our first silverware since  big things still to come for this young team LMDAFC  champions  yorkshire  ,Positivo
Up Arsenal    champions  debruyne  ,Positivo
Un remake svp  ChampionsLeague  LDC  Champions  ,Positivo
So proud of us On to round   champions  district  undefeated                              ,Positivo
CONGRATULATIONS TODAYS GAME WONJOIN THE WINNING TEAM TODAY AND TESTIFY  Odunlade Bobrisky Khaid Guinness World Record Cubana Chief Priest Yahaya Bello White Lion Korra Adekunle Gold gb  Dollar  MCIRMA  BAYARS   Champions  Maydayblogs  Maydayentertainment  ,Positivo
After winning the Regional Junior Premier League at the weekend our Us won their final match this evening to secure the Mid Sussex Youth League Division  titleA fantastic achievement securing two league titles in  days  leaguewinners  football  champions  ,Positivo
Congrats to the Louisiana Bombers uMadison for winning the Angels  Autism tournament  champions  bombernation  ,Positivo
Proud is an understatement   CHAMPIONSTexas Twelve Teams Katy u Maroon  San Antonio u Maroon  College Station u Maroon  South Texas u Black  TwelveLife  ,Positivo
Our captain  What a night  champions  ,Positivo
Huge congrats to the U girls who were crowned Beds County  Girls  Futsal  Champions last month They showed great composure on the ball whilst playing some fantastic football which resulted in them  winning every game Great  sportsmanship displayed by all  well done girls  ,Positivo
Here comes the  CHAMPIONS StockportCounty  ,Positivo
Just when I thought the night couldnt get any better I go and bump into    a real nice fellaFinally got a dance in after months of practice in front of the wife and baby  PUP   Pompey  champions  ,Positivo
Congratulations to our   Softball Team  BacktoBack District  Champions     is proud of you  ,Positivo
City Champions A huge congratulations to our U Hockey team who have retained the City Championship title after a fantastic team performance at Aldersley last week  WeAreWGS  Hockey  Champions  Wolverhampton  ,Positivo
Drumroll please  Its time to reveal the winners of our mascot hunt contest Congratulations to all our winners for their outstanding creativity and enthusiasm Cheers to our champions ClubMahindra  MascotHunt  MascotHuntContest  WinnersOfMascotHunt  Winners  Champions  ,Positivo
UBB Gold ends an incredible season with a bang  A tournament victory at the Newmarket Spring Thaw caps off a phenomenal win season This teams dedication and hard work paid off in dominating fashion with a  Record Congratulations  Champions  Wins  ,Positivo
Rt   These are the winners of the New Champions Awards    champions  innovation  ,Positivo
Another Ulster Success Huge congratulations to Blossom Amy and Isobel on winning the Ulster UC Final with Loreto todayCongrats to all involved Enjoy the celebrations girls the club are super proud  LoretoCollegeCavan  Champions    ,Positivo
What a night  Pompey  Champions  ,Positivo
Ah Foden play some,Positivo
 takeawaysBellingham was wank at Dortmund didnt do anything in  legs for MadridMadrid played like Stoke madnessBernardos penalty was shite still a legend scored  in the same game last year Foden and De bruyne doesnt work Haaland is crap,Negativo
What did foden do today,Positivo
Lol no word on Foden Oya na,Negativo
Man Citys exit from the Champions League should show the board and Guardiola that serious attacking reinforcements are needed in the summer transfer windowFoden isnt effective from the RW so thats a position we need looking at We need Gundogan  to chip in with goals,Negativo
At least Foden scored the pen,Positivo
Foden Im happy he fold at last,Positivo
Foden didnt have one more in him ,Negativo
See chances we missedthat kdb chance bro the one foden scrapped and the haalands header that came of the post,Positivo
Arsenal fans asleep Conversations about Saka need to be had I dont even think he should be stating for England Foden is clear too,Negativo
Fck offfff pep fckkk off Haalandfckkk off Foden Fckkk off KDB Haaland its time to get out Pep for buying substandard players and selling Mahrez Gundo This loss is on you Fckkk of Gvardiol every time he has the ball it feels were gonna lose the possession,Negativo
Foden is not Man Citys best player Bellingham is not Reals best player We cannot rely on Saka as our best player We need to strengthen in all positions in the summer and that includes the managerial position Else we will here again next season with another failed attempt,Positivo
Hot take weve reached the eitheror with KBD and Foden at the  Foden is wasted out wide The team performs better with Foden at the  What are we doing,Positivo
Jude Bellingham Florian Wirtz Phil Foden Cole PalmerThe return of the  ,Positivo
Is Haaland really a threat When compared to Messi ampor Ronaldo he is just a big body FodenDe Bruyne seem a bigger threat than him He is just part of set pieces amp scores when its easy He single handedly could have put the game out of reach today amp just could not,Positivo
saka and foden both stunk today but only one is getting cooked hmmmm observing,Positivo
  Hes not  Palmer and Foden better Saka only better than Rashford,Positivo
we all gonna pretend Foden didnt kick ball today aiit,Negativo
Terrific effort to pin Real back for entirety of that second half Some tired legs out there but praise due for  minutes that gave Real no options at all but to defend with all they had Akanji superb but too many big chances Bernardo De Bruyne Foden Haaland went begging,Negativo
Where are all the Foden is the best player in the universe people    I love you and your team but talk about someone who was invisible in the biggest game of the year Everyone relax KDB is still the man in charge,Positivo
Next big thing is TRIP BLOCK PARAM EVERY BUBBLE COOKIE  Saka Ederson Haaland Clement FOMO  ,Positivo
Next big bang on coin is TRIP BLOCK PARAM EVERY BUBBLE COOKIE  De Bruyne Haaland Grealish Arda  deprem  ,Positivo
Its such a binary take Haalands all around game is obviously not at the same level of other elite players But his goalscoring is at a level weve never seen in the modern gameChampions League goals per gameHaaland Messi Lewa Ronaldo Mbappe ,Positivo
Pep said Haaland has been playing with pain and just now he started feeling comfortable I feel like their is something we dont know,Negativo
Haaland aint a goat tier score shame,Negativo
Erling Haaland and Kevin De Bruyne asked to come off before Man City penalty heartbreak Erling Haaland and Kevin De Bruyne were both substituted by Pep Guardiola  erlinghaaland  kevindebruyne  pepguardiola    ,Positivo
Haaland has gone from a scoring machine that was on top of the world to a bum yes I know hes tied for the PL golden boot,Positivo
Im not even the biggest messi fan but I want to thank him for making sure haaland did not touch that ballon dorwhat a fraud,Positivo
Haalands chain is fake btw,Positivo
Saka Klay Haaland In that order,Positivo
Imagine thinking he deserved the ballon dOr over Messi last season and then thinking hes better than mbappeboth are overrated by the way but mbappe is miles clearHaaland keeps giving this world cup Ronaldo vibes in big gamesIts why Guadiola doesnt rate him too,Negativo
Haaland slander feed me for generations too,Positivo
We need to have a conversation about haaland,Positivo
Two takeaways from the  MNCRMA game One if you man mark Haaland like Rudiger did the Norwegian wont get a sniff Thats a memo to all Premier League central defenders Two did Luka Modric kick the ball into the crowd after his pen miss deliberately If so that was genuis,Negativo
Fucking hate Haaland,Negativo
Haaland is really a limited player The premier league defenders need to step up,Negativo
How can you say Haaland goes missing all the time but when Hjlund does its because he doesnt get service I see exactly the same City dont know how use him and Peps tactics dont help the man at all,Negativo
I just look at the past gen of s Lewa Suarez Kane Aguero even Auba How many s do we have close to this in this generationHaaland gets those numbers but other than him Tough to get a striker in this market sigh,Negativo
Erling Haaland the only striker who gets criticized for only scoring goals while bums like Hojlund Nunez and Jesus gets praised for their allround play because they contribute more to the team playthey are fing strikers they need to be judged on goals tf is all round play,Positivo
Rudiger what a colossus To want to take on the challenge of physically nullifying Erling Haaland and pulling it off over  games and then taking the th penaltyimmenseFlorentino Perez sent him that letter in  to ignite the dream and tonight hes living it RealMadridManchesterCity  RealMadrid  Rudiger  MCIRMA,Positivo
Very easy amigo,Positivo
  Monstro,Positivo
  I dont understand TF you wrote Congratulations XTER for you and your amigos,Positivo
As i always say rodrygo is far better than vini jrBuh the hype around vini is massive,Positivo
pic is so cold,Negativo
Havent a clue what you said mate but VAIIIII VINI,Negativo
 useIess Barca fans bookmarked this thinking they could cook,Positivo
You were brilliant today,Positivo
Lmaooo easy una see this mugu,Positivo
Los reyes,Positivo
The Best,Positivo
Starboy left it all the pitch,Negativo
scamming,Positivo
Bro gtfo it would have been easier if you passed that ball,Positivo
Yes we know,Positivo
Incroyable la photo,Positivo
Give it to them,Positivo
But woab hwee o,Positivo
Oomfs being racist to vini Jr ,Positivo
  LEGEND,Positivo
RUDIGER SCORESManchester City Real Madrid REAL MADRID ARE IN THE SEMI FINAL OF THE CHAMPIONS LEAGUE   ,Positivo
Real Madrid will play the second leg of the semi finals at Bernabeau Im calm   ,Positivo
Tuchel against Real Madrid   ,Positivo
OFFICIAL Bayern will face Real Madrid in the Champions League semifinal  ,Positivo
Real Madrid players avoiding  ManCitys badge in the Etihad Stadium tunnel on Tuesday     ,Positivo
Real Madrid have snapped Rodris game unbeaten streak  ,Negativo
endrick too is cooking man real madrid ankasa   ,Positivo
Imagine Man city DOMINATE Real Madrid through out the game but non of there players win the man of the match Thats means man city were playing rubbish omg   ,Positivo
Your City side to face Real Madrid XI  Ederson Walker C Akanji Dias Gvardiol Rodrigo De Bruyne Bernardo Foden Grealish HaalandSUBS  Ortega Moreno Carson Stones Ake Kovacic Doku Alvarez Gomez Nunes Bobb Lewis ManCity   UCL  ,Positivo
 years old Carlo Ancelloti is the best manager in the world by miles Hes proven himself without showing emotions or disclosing sideline antics Carlo is a human with big brains for football My kind of guy Good game  Everyone thought we were dead but Real Madrid never dies,Negativo
 First team to beat City at the Etihad since  in UCL Ended Citys  game unbeaten run Ended our curse of not winning at the Etihad ever Only team to qualify for  SFs in last  yearsLadies and Gentlemen this is REAL MADRID for you  ,Negativo
Jude Bellingham is Living the DREAM at Real Madrid MCIRMA  UCL  Bellingham  ,Positivo
The blueprint to beating Real Madrid    ,Positivo
Madrid fans from Mexico and Islamabad coming out of their caves and tweeting THIS IS REAL MADRID after not watching a single game this season  ,Positivo
 Real Madrid qualify to UCL semis Barcelona and Atltico eliminated  Pep amp his students Simeone and Griezmann humbled   Al Hilal thrashed  Al Bulayhi disasterclass Referee that gave Ronaldo a red card is in hospital ONE OF THE GREATEST WEEKS IN HISTORY OF FOOTBALL  ,Negativo
Jude leading the jubilations of Real Madrid MCIRMA ,Positivo
If this guy gets a sniff of the pitch against Real Madrid I can guarantee you hes either gonna start shagging Vinicius mid game or score an own goal  ,Positivo
Good night everyone We lost half our lifespan but we are through to the SemiFinal of the CL We were average on the ball but the team fought his heart out tonight Thats what Real Madrid is standing for  UCL  ,Positivo
GOOD NIGHT  REAL MADRID FANS,Positivo
Erling Haaland in the st leg vs Real Madrid  minutes played  goals  assists  shot on targetErling Haaland in the nd leg vs Real Madrid  minutes played  goals  assists  shot on target  ,Negativo
My mood can be dependent on Football matches After today Im in a good mood for the rest of the week   RealMadrid  ,Positivo
We are Real Madrid  ChampionsLeague  RealMadrid  ManchesterCityRealMadrid  ,Positivo
Cookies threeplatform ecosystem integrates analytics and AI to benefit users creators and businesses COOKIE    BAYARS  ChampionLeague  deprem  ManchesterCityRealMadrid  ManCity  RealMadrid  Airdrop Real City PARAM  ,Positivo
 RealMadrid advanced to the semifinals of the  ChampionsLeague after beating  Manchester  on penalties at  EtihadStadium on Wednesday  ,Positivo
 RealMadrid progressed to the semifinals of the  ChampionsLeague after a penalty shootout victory over  ManchesterCity  UCL  ,Positivo
No Real Madrid fans will pass without liking this pic  HalaMadrid  RealMadrid  ChampionsLeague  UEFAChampionsLeague  ManchesterCityRealMadrid    Rumored opportunity from acquaintances    ,Negativo
Just being in heaven And we have returned Football heaven The Glorious  RealMadrid through to Semi final of  UCL Victorious in OT over the Citizens of Manchester Love the game The New Classico   HalaMadridyNadaMas  ,Positivo
Real Madrid will face   in the   semifinals UCL     ManCity  UCL  MCIRMA  MCIRMD  Madridistas  RMPlay  RMTV  RealMadrid  RMCity  ,Positivo
GUARDIOLA THISKLOPP THATTHE GOAT  ONE AND ONLY DON CARLO    RESPECTRespectRESPECT GOAT  LEGEND  FOOTBALL  COACHING  CALCIO  REALMADRID  ACMILAN  PARMA  JUVENTUS  CHELSEA  ITALY  ,Positivo
EURO STARS Man City  Real Madrid  AGG   pens Bellingham amp Co stun holders with dramatic shootout victory at Etihad  RealMadrid  RealMadridManchesterCity        ,Positivo
Exclusive video from Ederson and Belinghams vacation  ederson  bellingham  realmadrid  mancity  ,Positivo
The Don  RealMadrid  NEXT  ,Positivo
And now we rest and watch the sun rise on a grateful universe   HalaMadrid  HalaMadridYNadaMas  WhiteAngles   realmadrid  RealMadridCF  ,Positivo
I saw only one team in the semi final baaaaaaaaaaaaaaaaaaaaaaaaah  HalaMadrid  semifinal  RealMadrid  ,Positivo
Through to the semis after a hard fought second leg at EtihadFT Manchester City  Real Madrid CFPenalties  HalaMadrid  RealMadrid  MadridistasPune  PeaMadridistaDePune  RealPunekar  RMPune  Comonotevoyaquerer  HastAElFinalVamosReal  globalmadridista  RMUCL  Aporla  ,Positivo
 RealMadrid once again proves that the   is in its DNAMeanwhile everyone notices one thing it would be an even stronger team with another great strikerAs mentioned and confirmed its just a matter of time  Mbapp will be a new player for    Just a matter of time Mission complete ,Positivo
Can Real Madrid go and win the Champions League this season RealMadrid  UCL  Football  ,Positivo
We take the half cashMan City with the push Phillies with the easy win  L MLP uGiveaway  coming tomorrow GamblingX  ManchesterCityRealMadrid  ManCity  RealMadrid  ChampionLeague  UCL  CL  Phillies  MCIRMA  NBA  NBAPlayoffs,Positivo
Whoever ask you whats Football just tell them  RealMadrid,Positivo
HALA MADRID WE WON  HalaMadrid  RealMadrid,Positivo
Rudiger scores Our  UCL journey comes to an end     ManCity   UCL,Negativo
So the beard Hass to go for a bit  beard  clean  fit  fitness  bodypositivity  love  happy  mentalhealth  bodybuilding  workout  AskMikha  BAYARS  ManCity    confidence  ,Positivo
Someone please wake me up from this nightmare  How could this happen  ManchesterCity  ManCityvsRealMadrid  UCL  ChampionsLeague  ManCity  ,Negativo
WHILE U WATCHING THE RICK ROSS DRAKE DRAMA THEY SWITCHING THE MONEY UP HELL WHILE U WATCHING THE TEUMP COURT BULL SHIT  THEY CHANGING THE MONEY UP  AskMikha  ManCity  BAYARS    ,Negativo
UCL  London will always be blueCOYB   BAYARS  HalaMadrid  ChampionsLeague  UCL  ManCity  ,Positivo
Unapologetic   fanNo Matter WhatWe Moveeeee UCL  ManCity  ARSBAY  ,Negativo
Bernardo Silva Reaction Tonight  ManchesterCityRealMadrid   ManCity  BAYARS  HalaMadridYNadaMas  ,Positivo
As a citizen since  i have  one thing to saySHIT PERFORMANS BY BERNARDOU SILVAH    SEND HIM TO BARCELONA RIGHT NOW  I DONT WANT HIM ANYMORE  LET HIM GO FOR FREE  I DONT CARELONG LIVE MANCHESTER CITY   ManCity,Negativo
Premier League is not Uefa  ChampionsLeague  Arsenal  ManCity  UCL  ,Positivo
We take the half cashMan City with the push Phillies with the easy win  L MLP uGiveaway  coming tomorrow GamblingX  ManchesterCityRealMadrid  ManCity  RealMadrid  ChampionLeague  UCL  CL  Phillies  MCIRMA  NBA  NBAPlayoffs,Positivo
Not surprised that  ManCity got eliminated from the  ChampionLeague QF with terrible performance If they cant win their last  matches in the premier league they will finish the year with zero trophies  after winning  last year,Negativo
love this team  ManCity,Positivo
Rodri actually lost  ManCity,Negativo
Chelsea fans beware What doesnt kill you makes you stronger    ManCity  ,Negativo
London will always be blue  COYB  ASSNAL  some joke thing  UCL  BAYARS  HalaMadrid  ChampionsLeague   CFC  COYG   ManCity  ,Positivo
Weekend creepingdeadass hyped  weekend  Wednesday  HumpDay  ManCity,Positivo
Its not talked about enough how bad Haaland is at heading the ball Even Messi clears him in heading abilityShameful haaland ManCity  MCIRMA  Guardiola,Negativo
Dem suppose Question Bernado Silva how much Madrid gave to him ManCity  ManchesterCityRealMadrid  UEFAChampionsLeague,Positivo
Hello palsGet your academic tasks perfectly done and timely deliveredWe deliver quality workalways and on time maths calculus algebra statistics spss trigonometryDm us MCIRMA  ChampionsLeague  ManCity  BAYARS  Arsenal  AskMikha  deprem  ManchesterCityRealMadrid  ,Positivo
Man Citys potential trophies won this season UEFA Super Cup  FIFA Club World Cup  Premier League  FA Cup Will still be a very successful season when we win the remaining two  ManCity  PremierLeague  FACup,Positivo
Dream League predicted the futureNo wonder Rodrygo and De Bruyne scored   quarter finals  ,Positivo
Rodrygo has been directly involved in    goals  goals amp  assists for   the same amount that Roberto Carlos managed for the club    ,Positivo
Rodrygo Silva de Goes    Big Game Player HAAALLLAA MADRID    ManchesterCityRealMadrid  ,Positivo
 Manchester CityRodrygo Silva de Goes  ,Positivo
At  years old Rodrygo has now been directly involved in    goals for    games  goals  assistsAnd hes only started  matches UCL  ,Negativo
rodrygo actually owns that club its hilarious,Positivo
 Says  hrs before st leg hes playing Rodrygo on the left Announces full team  working days before the nd leg Literally downplays any underdog narrative saying fans amp players are used to this kind of pressure Its just another day at the office  ,Negativo
The thing is in fact NONE of Rodrygo Vini Jude and even Brahim played a stinker tonight They kind of seem ghosted just because we lack possession,Negativo
Rodrygo yea what can I say Hes the best player in the world right now  Pep Guardiola post match  ,Positivo
Rodrygo ghosting in big Matches impossible man,Negativo
K Wallpapers  Rodrygo    Real Madrid   ManchesterCityRealMadrid  ,Positivo
hold this is the rodrygo these assnal fans were comparing to saka yall deserve the worst honestly   ,Positivo
Rodrygo Against Manchester City  ,Positivo
Real Madrid should give us Rodrygo as a thank you present for Rudiger,Positivo
 Rodrygo while giving the interview Look Pep Guardiola passed by giving me a stare     ,Positivo
    Rodrygo owns Manchester City,Positivo
Rodrygo be hardworking pass Vinicius,Positivo
And lets be honest rodrygo is indeed the new mr Champions League,Positivo
I just realized  we took vinicius  and  rodrygo  out  ,Negativo
I really wish Rodrygo gets this same PR cos hes a better but grandpa Perez wont agree,Negativo
Champions League   P Cuartos Final   Mier ABR                Manchester City   Real Madrid CF  PENARTIS Manchester City   Real Madrid CF                Bayern Munichem   Arsenal   ,Positivo
Real Madrid to Manchester City  MCIRMA  ,Positivo
Manchester City kkkkkkkkkkkkkkkkkk,Positivo
Manchester City fans are all saying they wish to have Bruno Fernandes in their team instead of bernardo silvaI laughed dieTg FA Cup champions league rudiga lunin palmer madrid trey de bruyne haaland saka odegaard celine dion musiala camavinga Guinness world record kepa arteta  ,Negativo
Manchester city you fucking idiots Losing at home to RM embarrassing,Negativo
Who the fuck is honestly excited about watching Manchester City play football Theyre the most soulless team of all time,Positivo
Manchester city Real Madrid Arsenal Bayern Bellingham Guinness book of records Kepa Bernardo Silva,Positivo
This penalty by Manchester City is hilarious lmfao  ,Positivo
Manchester city hold that mfs   ,Positivo
Manchester City cest grave ils savent tout faire les joueurs cest terrible,Positivo
The owner of Manchester City ,Positivo
Rodrygo Against Manchester City  ,Positivo
Despite losing to Real Madrid Manchester City dominated the game from start to finish and gave a good account of themselves For me they are the better side,Positivo
Manchester City had  corner kicks Madrid had  but they still got cooked,Positivo
Feels so bad being a Barcelona and Manchester City fan rn Double Heart break I can imagine how u  are feeling rn,Negativo
Manchester City were aiming for a second treble in a row They failed  ,Negativo
 Real Madrid beat Bayern Munich at Allianz Arena for the st time ever Chelsea won UCL Real Madrid best Chelsea at Stamford Bridge for the st time ever Manchester City won UCL Real Madrid beat Man City at Etihad for the first time,Positivo
 Bayern Munich won UCL Real Madrid beat Bayern Munich at Allianz Arena for the st time ever Chelsea won UCL Real Madrid best Chelsea at Stamford Bridge for the st time ever Manchester City won UCL Real Madrid beat ManCity,Positivo
BREAKING Manchester City are now facing  charges after Bernaldo Silvas horrific penalty  MCIRMD,Negativo
Pep GuardiolaCarlo Ancelloti Real Madrid Manchester cityOnly football fans can understand,Positivo
 UNUSUAL   Barcelona fans hurl missiles at own team bus thinking its  Champions League rivals  PSG  ,Negativo
City Champions A huge congratulations to our U Hockey team who have retained the City Championship title after a fantastic team performance at Aldersley last week  WeAreWGS  Hockey  Champions  Wolverhampton  ,Positivo
Congratulations to this fantastic squad of players on winning the   Div E league today as Partnership club Barking FC They will certainly enjoy the last game of the season next Weds as Champions  Champions   ,Positivo
I bloody love  pSpecials and what better way is there to celebrate Portsmouth FC becoming a Championship Team than playing Championship Manager on the PSP which was a p special pick up a few years ago Portsmouth  Portsmouthfc  champions  eflchampionship  efl  champs  ,Positivo
Real Madrid   is the Real Devils of   Congratulations  HalaMadrid  RealMadrid  RealMadridinSemiFinals  ChampionLeagueSemiFinals  UCL  Champions  RealDevils  ,Positivo
Amazing season for Radcliffe Football Club Taurus are so proud to be part of this fantastic journey radcliffefc  champions  ,Positivo
We are advocates of ethics Championing responsible and inclusive tech matching practices    MozzInc  WeAre  Champions  Responsibility  ,Negativo
What a thriller The finale was a nailbiter and the Colombo Dragons emerged as our first Team Tournament Champs  Missed out We got you More actionpacked tournaments are on the waysign up now and stay in the game ColomboDragons  Champions  cricket  gaming  fantasy  ,Negativo
We won with the boots  A heartfelt appreciation to the management  Championswhocares champions fwcchampionsFc  ,Positivo
Thanks to   for the fantastic coverage of our   Cleary Cup victory last week  Munster  Rugby  Champions  ,Positivo
This Saturday th April we will be Raffling off this Season winning signed Radcliffe Fc shirt charity  signedshirt  champions  uptheboro  ,Positivo
Didnt think it would take  years when I snapped this at the end of the last Championship game to be played at Fratton Park but YES WE ARE  Pompey  PUP  Champions        ,Negativo
Just got home found this on my desk  champions  ,Positivo
Portable and Spyro are cooking up a banger in the studio They got an hot one comingOdunlade Bobrisky Khaid Guinness World Record Cubana Chief Priest Yahaya Bello White Lion Korra Adekunle Gold gb  Dollar  MCIRMA  BAYARS   Champions  Maydayblogs  Maydayentertainment  ,Positivo
League One Champions Great result last night   A proud momentLooking forward to Championship football next season portsmouthfc  pompey  bluearmy  pup  champions  promotion  partnership  ,Positivo
New chapter to set sail on a path that goes beyond the sanity Live everyday past pm   twitchstreamer  twitch  twitchnoob  gamer  games  live  share  playstation  callofduty  eafc  warzonegrind  champions  varietystreamer  podcast   southafrican  ,Positivo
Send us up Paddy  All Hail Ming   champions  StockportCounty  penaltyking  ,Positivo
At the top beyond others thats   for you  JoyMohunBagan  Champions  ISL    ,Positivo
Its so divine   JoyMohunBagan  Champions      ,Positivo
May     Saskatoon  Saskatchewan Former  CWE  Champions Collide  s Zombie Princess Jimmy Jacobs vs x CWE  Champion    wrestling  aew  roh  ,Positivo
Funny how that Palmer Saka Foden debate died out so quick All of a sudden they dont care anymore when the boy is banging  goals with the likes of Harlaand,Negativo
btw Pep really gotta stop sticking Foden at RW its no coincidence we looked a lot more fluid when he and KDB were in the middle,Negativo
The Idea of Saka LB  foden LW and palmer CAM isnt far fetched then ,Negativo
Hows Foden better than Saka,Positivo
  he scored our only goal if anything if was that Foden scruff shot in extra time,Positivo
One of the few things Arsenal fans are right about Foden gets treated like a top  player in the world when he plays well but gets absolutely none of the scrutiny a player of that ilk should get when he plays badly,Negativo
They even said he is better than Foden because he knows how to limp,Positivo
Where all the Arsenal will beat Bayern Man City will demolish Real Madrid at Kepa Lunin Tuchel Kovacic Saka Foden  ,Positivo
  Mendy actually nullified Foden completely Didnt see him at all in this game,Negativo
Foden plays for City,Positivo
I will always say this Foden is a system player for Pep He isnt extraordinary tbh Cole Palmer might as well be a more talented player,Positivo
Why isnt Foden here,Negativo
    foden has won the ucl and every trophies he participated in and didnt drop a  rating tonight,Negativo
Foden was ass in both games BTW,Positivo
Fodens disasterclass Pick another topic please,Positivo
susah nk drop saka sebab saka ni kira dah senior palmermy england squad if saka and palmer play togetherramsdalearnold stones maguire chilwellbellingham ricesaka palmer fodenkane,Negativo
Oh yea you see that miss Foden had in extra time If that had been Saka or Rashford the narratives stemming from it would be CRAZY Goes to show how people view Man City and certain types of players,Negativo
This is what always happens with Foden,Positivo
Im seeing Saka get cooked but Ive legit seen  tweet on Foden,Positivo
Best player in the Premier League Foden and not a word of the tl about his ghost performance,Positivo
Haaland actually gave up tonight if you think deeply He just couldnt do anything and asked the coach to sub him out Peps head must be flyinggggg Those goals last season fooled everyone They were saying things like hes gonna surpass Cristiano in the CL I hate this app,Negativo
Haaland still hasnt scored against us,Negativo
Worldclass offensive players for the UCL quarter finalistsMan City  Haaland KDB amp BSilvaReal Madrid  Vinicius Jr amp BellinghamBayern Munich  Harry Kane amp MusialaPSG  Kylian Mbappe Arsenal  Like it or not we dont have the AlexisAubaRVP,Positivo
Is Haaland really a threat When compared to Messi ampor Ronaldo he is just a big body FodenDe Bruyne seem a bigger threat than him He is just part of set pieces amp scores when its easy He single handedly could have put the game out of reach today amp just could not,Positivo
Gunners were gunned down today Kovacic haaland  ManchesterCityRealMadrid,Positivo
Will be putting Haaland De Bruyne and Pep in my spliff tonight  citypack,Positivo
If Haaland was Sterling,Positivo
